calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,alcohol,ash,caffeine,theobromine,water
884,100.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,21.1,51.5,23.0,0.0,0.0,0.0,0.0,0.0
884,100.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,46.6,44.0,5.2,0.0,0.0,0.0,0.0,0.0
884,100.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,81.2,11.4,1.6,0.0,0.0,0.0,0.0,0.0
60,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.14,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,1.0,0.169,0.13,10.0,0.052,21.0,266.0,0.0,0.05,1.31,0.157,0.035,0.126,0.0,0.209,0.042,0.012,0.0,0.026,0.054,0.046,0.013,0.03,0.042,0.048,0.034,0.0,0.025,0.058,15.14,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,82.75
47,0.2,0.0,0.0,1.0,0.0,14.0,0.0,0.18,0.0,0.024,0.019,1528.0,76.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,16.0,0.04,0.28,13.0,0.148,27.0,266.0,0.6,0.05,0.43,0.024,0.014,0.058,0.006,0.061,0.02,0.007,0.0,0.015,0.026,0.023,0.004,0.014,0.027,0.02,0.015,0.005,0.013,0.021,12.14,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.04,0.008,0.091,0.0,0.5,0.0,0.0,86.73
32,0.5,0.0,0.0,43.0,0.0,215.0,0.0,0.639,0.179,0.348,0.028,57.0,3.0,0.0,38.0,0.0,0.0,0.0,0.152,3.6,0.0,0.0,0.0,275.0,0.19,1.88,121.0,3.098,86.0,633.0,0.9,1.1,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,2.5,0.0,0.0,89.21
26,0.1,0.1,0.0,1.0,8.2,16.0,0.0,0.6,0.298,0.11,0.05,8513.0,426.0,4016.0,3100.0,0.0,1500.0,0.0,0.061,9.0,0.0,1.06,1.1,21.0,0.127,0.8,12.0,0.125,44.0,340.0,0.3,0.32,1.0,0.028,0.054,0.102,0.003,0.184,0.027,0.016,0.0,0.031,0.046,0.054,0.011,0.032,0.026,0.044,0.029,0.012,0.042,0.035,6.5,0.5,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.052,0.013,0.005,0.0,0.8,0.0,0.0,91.6
41,0.2,0.0,0.0,69.0,8.8,19.0,0.0,0.983,0.273,0.058,0.066,16706.0,835.0,3477.0,8285.0,0.0,256.0,0.0,0.138,5.9,0.0,0.66,13.2,33.0,0.045,0.3,12.0,0.143,35.0,320.0,0.1,0.24,0.93,0.113,0.091,0.19,0.083,0.366,0.047,0.04,0.0,0.077,0.102,0.101,0.02,0.061,0.054,0.054,0.191,0.012,0.043,0.069,9.58,2.8,4.74,0.55,0.0,0.59,0.0,0.0,3.59,0.24,0.037,0.014,0.117,0.0,0.97,0.0,0.0,88.29
99,0.9,0.2,30.0,143.0,0.0,2.0,0.0,0.22,0.07,0.021,0.02,67.0,20.0,0.0,0.0,0.0,0.0,1.6,0.03,0.0,0.0,0.63,0.1,9.0,0.032,0.26,43.0,0.011,282.0,112.0,28.1,0.33,15.18,0.891,1.008,1.518,0.163,2.397,0.588,0.35,0.0,0.709,1.202,1.387,0.515,0.595,0.566,0.663,0.734,0.092,0.612,0.77,6.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.191,0.149,0.443,0.0,0.72,0.0,0.0,76.34
25,0.1,0.0,0.0,18.0,10.7,43.0,0.0,0.234,0.212,0.04,0.061,98.0,5.0,33.0,42.0,0.0,30.0,0.0,0.124,36.6,0.0,0.15,76.0,40.0,0.019,0.47,12.0,0.16,26.0,170.0,0.3,0.18,1.28,0.042,0.075,0.122,0.011,0.294,0.03,0.022,0.0,0.03,0.041,0.044,0.012,0.032,0.048,0.053,0.035,0.011,0.019,0.042,5.8,2.5,3.2,1.45,0.0,1.67,0.0,0.01,0.08,0.1,0.034,0.017,0.017,0.0,0.64,0.0,0.0,92.18
17,0.1,0.0,0.0,170.0,0.0,68.0,0.0,0.3,0.338,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,2.0,0.0,0.0,0.0,70.0,0.231,0.7,42.0,0.256,23.0,400.0,0.2,0.17,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.011,0.018,0.041,0.0,1.13,0.0,0.0,94.0
69,0.1,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.0,0.0,60.0,0.0,0.0,0.0,0.0,54.1,0.0,0.0,0.0,8.0,0.057,1.61,24.0,0.182,47.0,304.0,0.0,0.31,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,5.3,8.55,3.8,0.0,4.5,0.0,0.2,0.05,0.1,0.014,0.0,0.0,0.0,0.9,0.0,0.0,79.9
267,3.2,0.8,0.0,508.0,18.7,85.0,20.0,5.62,0.0,0.253,0.415,2.0,0.0,0.0,1.0,0.0,44.0,0.0,0.111,0.2,0.0,0.19,4.9,133.0,0.159,3.49,45.0,1.177,149.0,177.0,28.8,1.19,10.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.68,4.0,5.91,2.45,0.0,1.78,0.0,1.68,0.0,3.24,0.777,0.607,1.499,0.0,2.16,0.0,0.0,35.2
357,28.0,18.0,89.0,812.0,15.4,16.0,0.0,0.082,0.281,0.389,0.037,825.0,243.0,0.0,11.0,0.0,0.0,1.54,0.076,0.0,20.0,0.24,2.3,731.0,0.036,0.44,30.0,0.011,536.0,188.0,14.5,3.75,24.99,0.764,0.964,1.747,0.255,6.15,0.486,1.034,0.0,1.308,2.57,2.66,0.721,1.434,3.251,1.547,0.932,0.352,1.457,1.81,1.43,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,27.8,17.572,8.125,0.665,0.0,4.22,0.0,0.0,41.56
264,21.0,15.0,89.0,917.0,15.4,32.0,0.0,0.991,0.967,0.844,0.154,422.0,125.0,0.0,3.0,0.0,0.0,1.69,0.424,0.0,16.0,0.18,1.8,493.0,0.032,0.65,19.0,0.028,337.0,62.0,15.0,2.88,14.21,0.639,0.47,0.779,0.083,2.421,0.097,0.397,0.0,0.803,1.395,1.219,0.368,0.675,1.378,1.169,0.637,0.2,0.668,1.065,4.09,0.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,21.28,14.946,4.623,0.591,0.0,5.2,0.0,0.0,55.22
38,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.22,0.0,0.027,0.034,8.0,0.0,0.0,0.0,10.0,0.0,0.0,0.036,61.0,0.0,0.0,0.0,4.0,0.048,0.11,6.0,0.017,17.0,216.0,0.0,0.08,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.48,0.0,0.0,89.1
57,0.1,0.0,0.0,4.0,0.0,3.0,0.0,0.2,0.081,0.03,0.02,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,15.0,0.0,0.0,0.0,11.0,0.13,0.7,8.0,0.0,17.0,197.0,0.6,0.04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.036,0.05,0.0,0.4,0.0,0.0,83.8
383,1.7,0.3,0.0,16.0,19.6,136.0,114.0,5.707,0.467,0.468,0.696,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.039,0.0,0.0,0.43,0.3,23.0,0.225,4.64,24.0,0.944,104.0,115.0,42.3,0.69,9.3,0.282,0.321,0.373,0.208,3.241,0.316,0.196,0.0,0.342,0.639,0.179,0.162,0.456,1.087,0.448,0.247,0.107,0.253,0.388,80.9,2.6,0.33,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.271,0.152,0.722,0.0,0.6,0.0,0.0,7.6
49,0.6,0.0,0.0,6.0,0.0,0.0,0.0,0.31,0.0,0.028,0.011,287.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,215.0,0.0,1.48,51.0,0.0,37.0,208.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.51,0.0,0.0,86.58
66,0.3,0.1,0.0,14.0,7.6,14.0,0.0,0.9,0.253,0.05,0.07,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.059,20.6,0.0,0.08,0.4,14.0,0.086,0.6,21.0,0.0,27.0,278.0,0.6,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.007,0.0,0.0,0.0,0.0,0.011,0.0,0.0,16.84,3.3,13.54,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.051,0.09,0.069,0.0,0.7,0.0,0.0,81.16
892,99.0,82.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.6,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.06,82.475,6.332,1.702,0.0,0.03,0.0,0.0,0.03
339,2.5,0.5,0.0,2.0,0.0,43.0,0.0,6.738,0.935,0.121,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.0,0.0,0.0,0.0,34.0,0.553,3.52,144.0,3.012,508.0,431.0,89.4,4.16,13.68,0.427,0.483,0.617,0.286,4.743,0.495,0.322,0.0,0.533,0.934,0.303,0.221,0.681,1.459,0.667,0.366,0.176,0.357,0.594,71.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,0.454,0.344,0.978,0.0,1.78,0.0,0.0,10.94
358,17.0,12.0,1.0,1070.0,0.0,81.0,0.0,3.897,0.4,0.313,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.26,0.0,55.0,0.087,2.86,16.0,0.422,538.0,115.0,15.2,0.5,7.5,0.256,0.287,0.4,0.144,2.533,0.256,0.174,0.0,0.308,0.595,0.256,0.113,0.4,0.892,0.379,0.256,0.103,0.215,0.359,43.55,2.0,4.04,0.0,0.0,0.0,1.67,0.5,1.87,17.05,11.916,1.243,1.352,0.0,3.5,0.0,0.0,28.4
382,4.3,0.5,0.0,4.0,0.0,42.0,0.0,6.02,1.267,0.073,0.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,0.0,0.0,0.11,0.8,14.0,0.535,3.94,119.0,1.002,285.0,224.0,32.7,2.63,10.75,1.282,0.37,0.71,0.178,2.599,0.271,0.257,0.0,0.473,1.537,0.144,0.319,0.675,0.911,0.782,0.354,0.17,0.326,0.584,75.12,3.5,1.66,0.0,0.0,1.26,0.0,0.11,0.3,4.25,0.536,0.924,2.618,0.0,1.21,0.0,0.0,8.67
25,0.7,0.1,0.0,27.0,15.3,97.0,0.0,0.305,0.437,0.086,0.044,2373.0,119.0,0.0,1424.0,0.0,3555.0,0.0,0.073,15.0,0.0,0.43,108.6,160.0,0.076,1.46,47.0,0.321,52.0,369.0,0.3,0.47,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,1.6,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.086,0.049,0.319,0.0,1.4,0.0,0.0,91.71
357,0.3,0.1,0.0,55.0,39.5,25.0,0.0,3.507,0.474,0.051,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769,3.8,0.0,0.25,0.0,65.0,0.197,1.38,65.0,0.313,168.0,1001.0,1.1,0.54,6.9,0.328,0.374,1.173,0.07,0.932,0.256,0.166,0.0,0.299,0.425,0.413,0.107,0.316,0.265,0.234,0.28,0.115,0.224,0.356,83.1,5.9,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.09,0.008,0.15,0.0,3.14,0.0,0.0,6.52
66,0.4,0.1,0.0,1.0,7.1,14.0,0.0,0.603,0.0,0.065,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,71.5,0.0,0.07,0.4,5.0,0.148,0.31,10.0,0.055,31.0,171.0,0.6,0.07,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.009,0.0,0.0,0.0,0.0,0.007,0.0,0.0,16.53,1.3,15.23,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.099,0.12,0.132,0.0,0.44,0.0,0.0,81.76
101,0.7,0.0,0.0,8.0,0.0,18.0,0.0,0.909,0.0,0.033,0.183,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.0,0.0,0.0,0.0,49.0,0.226,2.05,50.0,2.86,120.0,107.0,0.0,1.11,3.87,0.218,0.151,0.239,0.069,0.975,0.139,0.088,0.0,0.146,0.311,0.109,0.125,0.203,0.193,0.181,0.149,0.041,0.133,0.2,19.86,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.69,0.0,0.0,74.93
23,0.4,0.1,0.0,79.0,19.3,194.0,0.0,0.724,0.065,0.189,0.078,9377.0,469.0,0.0,5626.0,0.0,12198.0,0.0,0.195,28.1,0.0,2.03,482.9,99.0,0.13,2.71,79.0,0.897,49.0,558.0,1.0,0.53,2.86,0.142,0.162,0.24,0.035,0.343,0.134,0.064,0.0,0.147,0.223,0.174,0.053,0.129,0.112,0.104,0.122,0.039,0.108,0.161,3.63,2.2,0.42,0.15,0.1,0.11,0.0,0.0,0.07,0.39,0.063,0.01,0.165,0.0,1.72,0.0,0.0,91.4
884,100.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11.582,59.187,21.23,0.0,0.0,0.0,0.0,0.0
884,100.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11.56,70.554,13.486,0.0,0.0,0.0,0.0,0.0
299,6.0,1.5,0.0,483.0,6.9,88.0,70.0,4.073,0.302,0.341,0.541,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.03,0.0,0.0,0.08,2.5,11.0,0.101,3.21,15.0,0.476,75.0,74.0,23.3,0.49,7.1,0.229,0.288,0.3,0.151,2.4,0.256,0.159,0.0,0.246,0.49,0.158,0.126,0.359,0.826,0.356,0.194,0.088,0.215,0.286,52.6,1.9,0.18,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.47,3.149,0.923,0.0,1.6,0.0,0.0,32.6
352,1.1,0.2,0.0,6.0,96.4,479.0,0.0,2.605,2.14,0.211,0.873,39.0,2.0,0.0,23.0,0.0,0.0,0.0,0.54,4.5,0.0,0.49,5.0,35.0,0.754,6.51,47.0,1.393,281.0,677.0,0.1,3.27,24.63,1.029,1.903,2.725,0.322,3.819,1.002,0.693,0.0,1.065,1.786,1.72,0.21,1.215,1.029,1.136,0.882,0.221,0.658,1.223,63.35,10.7,2.03,0.27,0.0,0.0,0.0,0.3,1.47,1.06,0.154,0.193,0.526,0.0,2.71,0.0,0.0,8.26
900,100.0,30.0,85.0,0.0,122.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,29.8,44.7,20.9,0.0,0.0,0.0,0.0,0.2
160,0.3,0.1,0.0,14.0,23.7,27.0,0.0,0.854,0.107,0.048,0.087,13.0,1.0,0.0,8.0,0.0,0.0,0.0,0.088,20.6,0.0,0.19,1.9,16.0,0.1,0.27,21.0,0.384,27.0,271.0,0.7,0.34,1.36,0.038,0.137,0.079,0.028,0.206,0.028,0.02,0.0,0.027,0.039,0.044,0.011,0.026,0.033,0.033,0.028,0.019,0.017,0.035,38.06,1.8,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.074,0.075,0.048,0.0,0.62,0.0,0.0,59.68
28,0.1,0.0,0.0,67.0,11.1,15.0,0.0,0.4,0.2,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,21.0,0.0,0.03,0.1,30.0,0.085,0.3,11.0,0.134,27.0,191.0,0.7,0.27,0.9,0.035,0.024,0.063,0.005,0.13,0.025,0.014,0.0,0.036,0.033,0.036,0.011,0.017,0.026,0.029,0.025,0.009,0.013,0.03,6.43,1.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.011,0.006,0.053,0.0,0.7,0.0,0.0,91.87
89,0.3,0.1,0.0,1.0,9.8,20.0,0.0,0.665,0.334,0.073,0.031,64.0,3.0,25.0,26.0,0.0,22.0,0.0,0.367,8.7,0.0,0.1,0.5,5.0,0.078,0.26,27.0,0.27,22.0,358.0,1.0,0.15,1.09,0.04,0.049,0.124,0.009,0.152,0.038,0.077,0.0,0.028,0.068,0.05,0.008,0.049,0.028,0.04,0.028,0.009,0.009,0.047,22.84,2.6,12.23,4.85,0.0,4.98,0.0,0.01,2.39,0.33,0.112,0.032,0.073,0.0,0.82,0.0,0.0,74.91
43,0.3,0.1,0.0,8.0,6.1,37.0,0.0,0.357,0.191,0.027,0.023,950.0,47.0,2.0,274.0,589.0,89.0,0.0,0.038,60.9,0.0,0.3,2.6,20.0,0.045,0.25,21.0,0.04,10.0,182.0,0.6,0.08,0.47,0.014,0.01,0.049,0.0,0.033,0.018,0.005,0.0,0.008,0.016,0.025,0.002,0.009,0.01,0.015,0.011,0.008,0.005,0.01,10.82,1.7,7.82,3.73,0.0,4.09,0.0,0.0,0.0,0.26,0.081,0.072,0.058,0.0,0.39,0.0,0.0,88.06
341,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.012,0.01,0.012,0.033,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.001,1.6,0.0,0.01,0.1,8.0,0.018,0.04,1.0,0.061,0.0,7.0,0.8,0.26,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.13,0.1,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,14.74
30,0.7,0.1,0.0,3.0,5.2,105.0,0.0,0.647,0.324,0.115,0.078,4353.0,218.0,0.0,2612.0,0.0,323.0,0.0,0.138,58.1,0.0,0.21,212.7,92.0,0.157,1.6,42.0,0.373,58.0,296.0,0.9,0.56,3.27,0.148,0.237,0.303,0.0,0.677,0.162,0.057,0.0,0.139,0.195,0.163,0.036,0.105,0.216,0.148,0.128,0.037,0.095,0.145,4.35,2.5,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.146,0.095,0.267,0.0,1.0,0.0,0.0,90.65
222,0.7,0.1,0.0,35.0,11.9,29.0,0.0,1.897,0.047,0.461,0.053,14.0,1.0,0.0,8.0,0.0,0.0,0.0,0.366,0.2,0.0,0.63,0.0,348.0,0.571,2.94,54.0,0.508,79.0,827.0,5.3,0.92,4.62,0.584,0.13,0.503,0.029,0.362,0.267,0.122,0.0,0.209,0.442,0.196,0.081,0.151,0.354,0.304,0.271,0.048,0.12,0.446,88.88,39.8,49.08,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.09,0.197,0.216,0.0,2.27,0.0,0.0,3.58
257,0.2,0.0,0.0,23.0,0.0,0.0,0.0,2.5,0.43,0.0,0.04,2000.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,31.0,0.0,2.8,0.0,0.0,72.0,852.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.1,3.3,39.0,13.87,0.0,22.27,0.0,0.0,0.0,0.2,0.016,0.0,0.0,0.0,2.6,0.0,0.0,30.0
0,0.0,0.0,0.0,38758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.03,0.33,1.0,0.1,0.0,8.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.0,0.2
360,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7,2.4,66.08,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.042,0.079,0.137,0.0,0.4,0.0,0.0,2.6
900,100.0,29.0,102.0,0.0,122.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,29.4,42.9,23.1,0.0,0.0,0.0,0.0,0.2
270,20.0,2.9,0.0,16.0,106.3,27.0,0.0,0.1,0.14,0.05,0.17,27.0,1.0,0.0,16.0,0.0,0.0,0.0,0.099,0.0,0.0,0.04,7.8,372.0,0.398,4.87,60.0,1.495,287.0,146.0,28.5,1.99,18.82,0.704,1.143,1.899,0.238,2.97,0.671,0.499,0.0,0.852,1.306,1.131,0.22,0.837,0.927,0.809,0.701,0.268,0.575,0.867,8.86,3.9,2.72,0.0,0.0,0.0,0.0,0.0,0.0,20.18,2.918,4.456,11.39,0.0,1.62,0.0,0.0,50.52
21,0.7,0.2,0.0,80.0,0.0,13.0,0.0,0.9,0.041,0.15,0.06,4200.0,210.0,0.0,0.0,0.0,0.0,0.0,0.084,35.0,0.0,0.0,0.0,93.0,0.13,3.3,52.0,0.349,53.0,470.0,0.9,0.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.17,0.211,0.109,0.0,1.44,0.0,0.0,93.0
60,0.4,0.1,0.0,1.0,7.6,43.0,0.0,0.669,0.197,0.038,0.028,1082.0,54.0,9.0,640.0,10.0,23.0,0.0,0.119,36.4,0.0,0.9,4.2,11.0,0.111,0.16,10.0,0.063,14.0,168.0,0.6,0.09,0.82,0.082,0.031,0.068,0.0,0.096,0.034,0.019,0.0,0.029,0.05,0.066,0.008,0.027,0.029,0.035,0.031,0.013,0.016,0.042,14.98,1.6,13.66,4.68,0.0,2.01,0.0,0.0,6.97,0.38,0.092,0.14,0.071,0.0,0.36,0.0,0.0,83.46
